bfe,gov_property_value,gov_land_value,unit_sqm_resi,rooms,street_name,street_number,longitude,latitude,building_year,gov_sqm,year,month,floor,y_true,y_pred
140201,960000.0,82700.0,61.0,2,Englandsvej,38,12.60320381,55.654771,1936.0,55.0,2022,2,5.0,2350000,2518351.3417363144
133429,1000000.0,161000.0,54.0,2,Ålandsgade,20,12.60643821,55.66256882,1940.0,50.0,2022,2,5.0,2825000,2618038.345520121
123884,1100000.0,134900.0,58.0,2,Højdevej,7,12.61168029,55.65454977,1904.0,51.0,2022,2,5.0,935000,2456397.2840600936
111445,2250000.0,326700.0,114.0,4,AmagerBoulevard,110,12.59378819,55.66651293,2018.0,101.0,2022,3,1.0,6200000,5312954.256988417
103789,2100000.0,404900.0,83.0,2,Weidekampsgade,61,12.58163606,55.6673983,2006.0,71.0,2022,3,1.0,4000000,4251377.083547598
135089,1350000.0,167400.0,78.0,4,Marengovej,12,12.62113554,55.65820336,1935.0,75.0,2022,3,2.0,3845000,3677674.4655674323
132821,1050000.0,97500.0,62.0,2,Elbagade,21,12.61341214,55.65372785,1932.0,54.0,2022,3,5.0,2375000,2475670.512065963
131622,960000.0,82000.0,56.0,2,Caprivej,2,12.62114697,55.66068112,1937.0,53.0,2022,3,2.0,2725000,2433398.0466494737
140061,1950000.0,441700.0,97.0,3,RichardMortensensVej,73,12.57140911,55.61744812,2010.0,85.0,2022,3,6.0,3995000,3995661.2809709217
137429,1000000.0,96700.0,60.0,2,Hallandsgade,6,12.59994236,55.66370246,1902.0,52.0,2022,3,4.0,3180000,2996420.6367332893
136451,1900000.0,277300.0,87.0,3,KvintusAllé,14,12.61904007,55.65992255,2006.0,80.0,2022,3,4.0,4350000,4469127.371277084
125520,1050000.0,165300.0,63.0,2,Kastrupvej,50,12.61704456,55.65567681,1970.0,55.0,2022,3,3.0,2350000,2328393.1921463343
139152,1200000.0,249400.0,60.0,2,RobertJacobsensVej,80,12.57201842,55.61693824,2010.0,48.0,2022,3,5.0,2970000,2911128.0736175743
109719,2650000.0,311800.0,78.0,3,IslandsBrygge,36,12.56741573,55.65893424,2012.0,71.0,2022,3,6.0,5400000,5216145.790339374
126964,1200000.0,93500.0,68.0,3,Tovværkgade,6,12.60302352,55.66296758,1900.0,62.0,2022,3,3.0,3100000,3417603.1700116955
136770,750000.0,126600.0,47.0,2,Gårdfæstevej,1,12.5887181,55.64005383,1960.0,41.0,2022,3,2.0,2040000,1949672.33794937
137966,960000.0,120500.0,63.0,2,Englandsvej,34,12.60385907,55.6554835,1935.0,54.0,2022,3,3.0,2245500,2448668.640715511
136552,1000000.0,170900.0,59.0,2,Tønnesvej,12,12.61852339,55.64543159,1935.0,53.0,2022,3,2.0,2050000,2164909.2788400333
111971,1950000.0,289500.0,77.0,2,IslandsBrygge,75,12.56936585,55.65997942,2005.0,65.0,2022,3,7.0,4300000,4494942.504749593
