,bfe_nummer,adresse,offentlig_ejendomsværdi,offentlige_grundværdi,seneste_handelspris,enhedsareal_beboelse,pris_pr_m2,seneste_handelsdato,seneste_handlet_andel,handelsmetode,anvendelse,opførelsesår,tinglyst_areal_ejerlejligheder,longitude,latitude,primær_ejers_adresse,vejnavn,husnr,etage,antal_værelser,year,month,day
144,135388,"ØresundParkvej15,1.th,2300KøbenhavnS",1650000.0,319200.0,4801000,76.0,63171.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2005.0,63.0,12.62948613,55.66334736,"Japanvej22,2300KøbenhavnS",ØresundParkvej,15,2.0,2,2022,3,1
145,136186,"Reberbanegade39,st.tv,2300KøbenhavnS",890000.0,133700.0,2510000,53.0,47358.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1940.0,48.0,12.6063289,55.66225579,"Egholmvej11,2665VallensbækStrand",Reberbanegade,39,1.0,2,2022,3,1
146,136649,"Florensvej10,2.mf,2300KøbenhavnS",480000.0,63900.0,1450000,26.0,55769.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1940.0,23.0,12.62124061,55.65790846,"Isagervej21D,2,-1,8680Ry",Florensvej,10,3.0,1,2022,3,1
147,133795,"Parmagade42,st.th,2300KøbenhavnS",710000.0,54600.0,2050000,45.0,45555.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1934.0,40.0,12.61634482,55.65319428,"Dannesk-SamsøesAllé40,sttv,1434KøbenhavnK",Parmagade,42,1.0,2,2022,3,1
148,139801,"Englandsvej38A,4.tv,2300KøbenhavnS",960000.0,82700.0,2695000,60.0,44916.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1936.0,54.0,12.60329546,55.65485967,"Hørsholmsgade24,2th,2200KøbenhavnN",Englandsvej,38,5.0,2,2022,3,1
149,103784,"Weidekampsgade59,5.th,2300KøbenhavnS",2600000.0,462000.0,5250000,93.0,56451.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2006.0,81.0,12.58182392,55.66731458,"Schubertsvej13,2tv,2450KøbenhavnSV",Weidekampsgade,59,6.0,3,2022,3,1
151,126034,"Kastrupvej69,1.tv,2300KøbenhavnS",920000.0,56200.0,2495000,50.0,49900.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1900.0,42.0,12.61928688,55.65392526,"Kastrupvej69,1tv,2300KøbenhavnS",Kastrupvej,69,2.0,2,2022,3,1
152,125580,"Kastrupvej77,4.th,2300KøbenhavnS",1150000.0,174100.0,3150000,66.0,47727.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1937.0,61.0,12.61967852,55.65332013,"Kastrupvej77,4th,2300KøbenhavnS",Kastrupvej,77,5.0,3,2022,3,1
153,141088,"RobertJacobsensVej91,8.,2300KøbenhavnS",2100000.0,434400.0,6525000,105.0,62142.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2009.0,89.0,12.5731217,55.61668163,"Nansensgade62,1th,1366KøbenhavnK",RobertJacobsensVej,91,9.0,4,2022,3,1
154,132237,"Kastrupvej2,2.th,2300KøbenhavnS",1950000.0,149000.0,4540000,102.0,44509.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1906.0,93.0,12.61395619,55.66035237,"Kastrupvej2,2th,2300KøbenhavnS",Kastrupvej,2,3.0,4,2022,3,1
155,139791,"Englandsvej38A,st.tv,2300KøbenhavnS",850000.0,82700.0,2300000,60.0,38333.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1936.0,54.0,12.60329546,55.65485967,"Lundtoftegårdsvej5,13tv,2800KongensLyngby",Englandsvej,38,1.0,2,2022,3,1
157,140568,"RobertJacobsensVej70,5.4,2300KøbenhavnS",1650000.0,441700.0,4000000,97.0,41237.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2010.0,85.0,12.57207819,55.61774495,"RobertJacobsensVej70,5,-4,2300KøbenhavnS",RobertJacobsensVej,70,6.0,3,2022,3,1
158,131096,"PragsBoulevard50,3.th,2300KøbenhavnS",960000.0,142600.0,2600000,60.0,43333.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1937.0,54.0,12.61285387,55.66722162,"Rudbølvej61,8600Silkeborg",PragsBoulevard,50,4.0,2,2022,3,1
159,128783,"Rodosvej61,st.th,2300KøbenhavnS",1350000.0,277100.0,4150000,78.0,53205.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1950.0,73.0,12.61928302,55.65162613,"Rodosvej61,stth,2300KøbenhavnS",Rodosvej,61,1.0,3,2022,3,1
160,130238,"Siciliensgade7,3.th,2300KøbenhavnS",900000.0,107100.0,2350000,52.0,45192.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1936.0,48.0,12.61839444,55.65312516,"Tjørnevej6,7830Vinderup",Siciliensgade,7,4.0,2,2022,3,1
161,119176,"EdvardThomsensVej69,1.4,2300KøbenhavnS",2300000.0,510800.0,4150000,118.0,35169.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2007.0,93.0,12.57810851,55.63263825,"HansJensensVej25,2900Hellerup",EdvardThomsensVej,69,2.0,4,2022,3,1
162,142940,"Sundholmsvej109,1.th,2300KøbenhavnS",1000000.0,64400.0,2720000,68.0,40000.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1939.0,62.0,12.60508929,55.65746646,"Sundholmsvej109,1th,2300KøbenhavnS",Sundholmsvej,109,2.0,2,2022,3,1
163,415769,"RobertJacobsensVej8,7.tv,2300KøbenhavnS",2700000.0,622100.0,5950000,124.0,47983.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2017.0,117.0,12.57467044,55.62360477,"RobertJacobsensVej8,7tv,2300KøbenhavnS",RobertJacobsensVej,8,8.0,4,2022,3,1
164,136662,"Florensvej9,st.mf,2300KøbenhavnS",440000.0,63900.0,1350000,26.0,51923.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1940.0,23.0,12.62163322,55.65757711,"Nollundvej117,7200Grindsted",Florensvej,9,1.0,1,2022,3,1
165,102859,"Weidekampsgade35,2.tv,2300KøbenhavnS",2250000.0,441800.0,4695000,83.0,56566.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2007.0,72.0,12.58265573,55.66696594,"Weidekampsgade35,2tv,2300KøbenhavnS",Weidekampsgade,35,3.0,3,2022,3,1
166,112971,"ØrestadsBoulevard57A,9.910,2300KøbenhavnS",2200000.0,463900.0,3950000,108.0,36574.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2005.0,91.0,12.58224692,55.63443774,"SchulinParken8,4340Tølløse",ØrestadsBoulevard,57,10.0,3,2022,3,1
167,106840,"Markmandsgade17,st.tv,2300KøbenhavnS",2700000.0,392000.0,5050000,100.0,50500.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2014.0,88.0,12.59991874,55.66814461,"Markmandsgade17,sttv,2300KøbenhavnS",Markmandsgade,17,1.0,3,2022,3,1
168,108761,"Artillerivej116,4.th,2300KøbenhavnS",3450000.0,264700.0,5725000,102.0,56127.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2008.0,99.0,12.5706781,55.65855556,"Artillerivej116,4th,2300KøbenhavnS",Artillerivej,116,5.0,3,2022,3,1
169,422642,"DorisLessingsVej31,3.tv,2300KøbenhavnS",1650000.0,165800.0,3425000,78.0,43910.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2017.0,68.0,12.57566304,55.63687546,"Dalslandsgade8M,1,-212,2300KøbenhavnS",DorisLessingsVej,31,4.0,3,2022,3,1
170,137490,"Lysefjordsgade3,1.tv,2300KøbenhavnS",960000.0,116300.0,2500000,58.0,43103.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1912.0,52.0,12.59960307,55.6582047,"N.J.FjordsAlle18,4tv,1957FrederiksbergC",Lysefjordsgade,3,2.0,2,2022,3,1
173,138754,"RobertJacobsensVej78,1.t2,2300KøbenhavnS",2400000.0,566400.0,4595000,121.0,37975.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2010.0,109.0,12.57205823,55.6171277,"None,2300KøbenhavnS",RobertJacobsensVej,78,2.0,5,2022,3,1
